City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaqortoq,GL,2021-12-20 22:01:55,60.7167,-46.0333,50.5,72,71,14.12
1,Lazaro Cardenas,MX,2021-12-20 22:01:56,17.9583,-102.2,83.41,64,25,7.09
2,Dale,US,2021-12-20 22:01:57,38.1689,-86.99,42.58,65,1,3.44
3,Nizhnyaya Poyma,RU,2021-12-20 22:01:57,56.1622,97.1933,-9.81,89,100,7.4
4,Hobart,AU,2021-12-20 22:00:18,-42.8794,147.3294,62.46,53,75,13.8
5,Talnakh,RU,2021-12-20 22:01:58,69.4865,88.3972,-29.79,93,63,4.09
6,Puerto Ayora,EC,2021-12-20 22:01:58,-0.7393,-90.3518,71.55,91,88,7.0
7,Hobyo,SO,2021-12-20 22:01:59,5.3505,48.5268,78.24,81,78,17.96
8,Yar-Sale,RU,2021-12-20 22:01:59,66.8333,70.8333,-20.67,99,99,11.54
9,Ust-Maya,RU,2021-12-20 22:02:02,60.4167,134.5333,-33.09,99,100,1.88
10,Busselton,AU,2021-12-20 22:02:03,-33.65,115.3333,61.09,85,83,11.3
11,Chokurdakh,RU,2021-12-20 22:02:03,70.6333,147.9167,-5.46,96,100,14.12
12,Xunchang,CN,2021-12-20 22:02:04,28.4543,104.715,44.06,82,5,2.08
13,Arraial Do Cabo,BR,2021-12-20 22:02:04,-22.9661,-42.0278,73.85,77,5,14.18
14,Yellowknife,CA,2021-12-20 22:01:26,62.456,-114.3525,-30.71,80,16,2.15
15,Mataura,NZ,2021-12-20 22:02:06,-46.1927,168.8643,59.49,97,100,9.01
16,Yumen,CN,2021-12-20 22:02:06,40.2833,97.2,26.26,27,31,13.11
17,Damietta,EG,2021-12-20 22:02:06,31.4165,31.8133,54.37,67,68,21.14
18,Bahia De Caraquez,EC,2021-12-20 22:02:07,-0.6,-80.4167,75.81,82,100,7.65
19,Abong Mbang,CM,2021-12-20 22:02:07,3.9833,13.1833,72.32,46,78,2.86
20,Aklavik,CA,2021-12-20 22:02:07,68.2191,-135.0107,12.2,85,90,4.61
21,Georgetown,MY,2021-12-20 22:02:08,5.4112,100.3354,78.89,87,20,0.0
22,Vardo,NO,2021-12-20 22:02:08,70.3705,31.1107,23.2,60,100,14.45
23,Thompson,CA,2021-12-20 22:02:08,55.7435,-97.8558,-13.43,93,84,6.46
24,Sur,OM,2021-12-20 22:02:08,22.5667,59.5289,70.48,65,21,7.52
25,Airai,TL,2021-12-20 22:02:10,-8.9266,125.4092,62.53,93,100,0.4
26,Atuona,PF,2021-12-20 22:02:10,-9.8,-139.0333,77.94,72,1,10.92
27,Punta Arenas,CL,2021-12-20 22:02:11,-53.15,-70.9167,55.11,54,99,24.76
28,La Ronge,CA,2021-12-20 22:00:08,55.1001,-105.2842,-0.44,94,95,3.96
29,Ancud,CL,2021-12-20 22:02:12,-41.8697,-73.8203,71.22,61,0,5.53
30,Dunedin,NZ,2021-12-20 22:00:32,-45.8742,170.5036,66.94,51,0,12.12
31,Dudinka,RU,2021-12-20 22:02:13,69.4058,86.1778,-29.38,100,70,1.66
32,Saint-Philippe,RE,2021-12-20 22:02:13,-21.3585,55.7679,76.59,86,92,9.28
33,Albany,US,2021-12-20 22:00:17,42.6001,-73.9662,32.67,65,49,3.58
34,Kavieng,PG,2021-12-20 22:02:14,-2.5744,150.7967,82.69,76,100,13.24
35,Bundaberg,AU,2021-12-20 22:02:15,-24.85,152.35,82.22,67,80,1.99
36,Swan Hill,AU,2021-12-20 22:02:16,-35.3378,143.5544,69.3,42,1,7.47
37,Goundam,ML,2021-12-20 22:02:16,16.4145,-3.6708,71.2,12,73,10.8
38,Rikitea,PF,2021-12-20 22:02:16,-23.1203,-134.9692,75.92,78,100,17.58
39,Bluff,NZ,2021-12-20 22:02:16,-46.6,168.3333,59.81,71,65,33.6
40,Adeje,ES,2021-12-20 22:02:17,28.1227,-16.726,70.3,78,20,12.66
41,Hilo,US,2021-12-20 21:58:31,19.7297,-155.09,78.28,1,84,6.02
42,Severo-Kurilsk,RU,2021-12-20 22:02:17,50.6789,156.125,22.37,69,100,4.41
43,Yakeshi,CN,2021-12-20 22:03:18,49.2833,120.7333,-25.78,98,6,4.56
44,Partenit,UA,2021-12-20 22:03:18,44.578,34.3446,37.27,73,100,8.75
45,Carutapera,BR,2021-12-20 22:03:19,-1.195,-46.02,79.32,80,100,7.11
46,Qaanaaq,GL,2021-12-20 22:03:19,77.484,-69.3632,26.38,58,100,11.63
47,Westport,US,2021-12-20 22:01:14,41.1415,-73.3579,35.74,56,10,5.01
48,Aguimes,ES,2021-12-20 22:03:19,27.9054,-15.4461,63.23,88,40,8.05
49,Vaini,TO,2021-12-20 22:03:20,-21.2,-175.2,86.16,79,40,11.5
50,Meulaboh,ID,2021-12-20 22:03:20,4.1363,96.1285,75.7,91,100,1.5
51,Saskylakh,RU,2021-12-20 22:03:21,71.9167,114.0833,-9.2,96,98,7.2
52,Upernavik,GL,2021-12-20 22:03:21,72.7868,-56.1549,32.38,66,100,8.05
53,Kedrovyy,RU,2021-12-20 22:03:21,56.1667,91.8167,-10.79,97,100,4.72
54,Norman Wells,CA,2021-12-20 22:03:22,65.282,-126.8329,-3.96,77,90,9.22
55,Soyo,AO,2021-12-20 22:03:22,-6.1349,12.3689,77.88,89,88,7.65
56,Oostburg,US,2021-12-20 22:03:22,43.6228,-87.7945,37.6,67,90,9.22
57,Hokitika,NZ,2021-12-20 22:03:23,-42.7167,170.9667,61.66,74,15,15.28
58,Seoul,KR,2021-12-20 22:02:16,37.5683,126.9778,45.84,96,3,0.96
59,Erzin,TR,2021-12-20 22:03:23,36.9559,36.2,41.72,89,85,1.63
60,Kruisfontein,ZA,2021-12-20 22:03:24,-34.0033,24.7314,67.89,81,95,10.6
61,Barrow,US,2021-12-20 22:03:24,71.2906,-156.7887,10.42,72,90,33.38
62,Naze,JP,2021-12-20 22:03:24,28.3667,129.4833,56.32,58,100,5.84
63,Khatanga,RU,2021-12-20 22:03:25,71.9667,102.5,-15.29,97,98,11.07
64,Yerbogachen,RU,2021-12-20 22:03:26,61.2767,108.0108,-27.42,99,99,3.76
65,La Libertad,EC,2021-12-20 22:03:26,-2.2333,-80.9,76.66,73,20,9.22
66,Santa Fe,AR,2021-12-20 21:59:13,-31.6333,-60.7,96.03,33,81,7.0
67,Constitucion,CL,2021-12-20 22:00:56,-35.3333,-72.4167,67.5,63,18,18.54
68,Kavaratti,IN,2021-12-20 22:03:27,10.5669,72.642,79.79,69,87,5.39
69,Cabo San Lucas,MX,2021-12-20 22:03:03,22.8909,-109.9124,78.51,53,75,5.01
70,Black River,JM,2021-12-20 22:03:27,18.0264,-77.8487,81.99,69,5,3.06
71,Praia,CV,2021-12-20 22:01:06,14.9215,-23.5087,72.14,83,90,14.97
72,Ushuaia,AR,2021-12-20 22:03:27,-54.8,-68.3,48.76,77,79,8.97
73,Boddam,GB,2021-12-20 22:03:28,57.4667,-1.7833,39.58,74,100,5.93
74,Port Augusta,AU,2021-12-20 22:03:28,-32.5,137.7667,72.72,58,1,11.97
75,Bambous Virieux,MU,2021-12-20 22:03:28,-20.3428,57.7575,76.21,79,71,6.78
76,Moyale,KE,2021-12-20 22:03:30,3.5167,39.0584,70.21,65,94,4.56
77,Bubaque,GW,2021-12-20 22:03:30,11.2833,-15.8333,81.25,68,27,8.68
78,Esso,RU,2021-12-20 22:03:30,55.9333,158.7,-2.87,98,69,4.54
79,Petropavlovsk-Kamchatskiy,RU,2021-12-20 22:03:31,53.0452,158.6483,3.79,78,0,8.95
80,Mandalgovi,MN,2021-12-20 22:03:32,45.7625,106.2708,15.37,61,98,5.82
81,Karratha,AU,2021-12-20 22:03:33,-20.7377,116.8463,84.43,61,34,7.74
82,Sao Joao Da Barra,BR,2021-12-20 22:03:33,-21.6403,-41.0511,73.69,78,9,9.91
83,Hithadhoo,MV,2021-12-20 22:03:33,-0.6,73.0833,82.24,71,100,2.51
84,Ostersund,SE,2021-12-20 22:03:34,63.1792,14.6357,19.62,100,100,5.75
85,Hami,CN,2021-12-20 22:03:34,42.8,93.45,23.88,55,100,1.66
86,Dikson,RU,2021-12-20 22:03:34,73.5069,80.5464,-19.88,94,100,13.35
87,Bengkulu,ID,2021-12-20 22:03:35,-3.8004,102.2655,77.11,89,99,2.26
88,Kisangani,CD,2021-12-20 22:04:35,0.5167,25.2,73.38,81,95,0.94
89,Tilichiki,RU,2021-12-20 22:04:36,60.4667,166.1,1.2,96,100,8.52
90,Gweta,BW,2021-12-20 22:04:37,-20.1833,25.2333,74.84,63,100,5.99
91,Hualmay,PE,2021-12-20 22:04:38,-11.0964,-77.6139,71.76,72,12,10.56
92,Ribeira Grande,PT,2021-12-20 22:04:39,38.5167,-28.7,61.18,76,91,30.18
93,Jamestown,US,2021-12-20 22:00:44,42.097,-79.2353,36.01,60,84,5.99
94,Cape Town,ZA,2021-12-20 22:02:30,-33.9258,18.4232,72.12,73,100,1.99
95,Campo Grande,BR,2021-12-20 22:04:14,-20.4428,-54.6464,85.55,39,20,9.22
96,Husavik,IS,2021-12-20 22:04:40,66.0449,-17.3389,32.72,90,55,3.15
97,Cuamba,MZ,2021-12-20 22:04:40,-14.8031,36.5372,70.81,94,94,3.56
98,Carnarvon,AU,2021-12-20 22:04:40,-24.8667,113.6333,73.47,78,5,14.97
99,Geraldton,AU,2021-12-20 22:04:41,-28.7667,114.6,70.21,78,99,12.66
100,Nsanje,MW,2021-12-20 22:04:41,-16.92,35.262,72.63,93,31,3.53
101,Watertown,US,2021-12-20 22:04:41,42.3709,-71.1828,32.81,54,1,1.01
102,Verkhnetulomskiy,RU,2021-12-20 22:04:42,68.6073,31.7962,-2.07,98,95,2.77
103,Mantua,IT,2021-12-20 22:04:42,45.1667,10.7833,46.71,91,11,3.0
104,San Patricio,US,2021-12-20 22:04:43,28.017,-97.5169,64.81,46,0,6.11
105,Faanui,PF,2021-12-20 22:04:45,-16.4833,-151.75,80.15,74,3,9.01
106,Butaritari,KI,2021-12-20 22:04:45,3.0707,172.7902,81.97,69,100,12.68
107,Nanortalik,GL,2021-12-20 22:04:46,60.1432,-45.2371,42.33,77,46,36.22
108,Puerto Penasco,MX,2021-12-20 22:03:28,31.3167,-113.5333,65.91,43,1,4.0
109,Taebla,EE,2021-12-20 22:04:47,58.9547,23.7419,23.99,79,97,8.61
110,Tuktoyaktuk,CA,2021-12-20 22:04:48,69.4541,-133.0374,0.36,95,100,15.43
111,Hermanus,ZA,2021-12-20 22:04:48,-34.4187,19.2345,71.91,85,90,15.05
112,Jiayuguan,CN,2021-12-20 22:04:49,39.8167,98.3,24.24,22,3,1.72
113,Nome,US,2021-12-20 22:04:49,64.5011,-165.4064,21.27,79,20,13.8
114,Klaksvik,FO,2021-12-20 22:04:50,62.2266,-6.589,40.12,77,98,7.52
115,Touros,BR,2021-12-20 22:04:50,-5.1989,-35.4608,83.3,75,93,14.38
116,Puerto Escondido,MX,2021-12-20 22:04:51,15.85,-97.0667,85.03,61,1,10.36
117,Saint George,US,2021-12-20 22:04:51,37.1041,-113.5841,59.47,38,1,1.01
118,Sao Filipe,CV,2021-12-20 22:04:52,14.8961,-24.4956,74.84,78,100,10.38
119,New Norfolk,AU,2021-12-20 22:04:52,-42.7826,147.0587,62.1,54,94,8.01
120,Wageningen,NL,2021-12-20 22:04:53,51.9667,5.6667,36.9,96,49,2.3
121,Hasaki,JP,2021-12-20 22:04:53,35.7333,140.8333,32.4,59,7,8.68
122,Gazanjyk,TM,2021-12-20 22:04:53,39.2446,55.5154,57.29,42,100,5.77
123,Verkhnyaya Inta,RU,2021-12-20 22:04:54,65.9811,60.3094,-5.84,79,100,19.22
124,Murgab,TM,2021-12-20 22:04:54,37.4966,61.9714,58.96,47,59,13.94
125,Luderitz,NA,2021-12-20 22:04:55,-26.6481,15.1594,59.85,87,0,1.81
126,Itarema,BR,2021-12-20 22:04:55,-2.9248,-39.9167,80.58,76,65,15.01
127,Arlit,NE,2021-12-20 22:04:55,18.7369,7.3853,62.13,20,19,11.12
128,Inta,RU,2021-12-20 22:04:56,66.0317,60.1659,-5.33,79,100,21.16
129,Victoria,HK,2021-12-20 22:04:56,22.2855,114.1577,63.25,94,100,1.01
130,Kailua,US,2021-12-20 22:04:56,21.4022,-157.7394,80.58,71,79,22.15
131,Katsuura,JP,2021-12-20 22:05:57,35.1333,140.3,42.91,71,0,6.02
132,Maxixe,MZ,2021-12-20 22:05:57,-23.8597,35.3472,73.65,74,95,8.03
133,Tiksi,RU,2021-12-20 22:05:58,71.6872,128.8694,-14.35,98,91,8.57
134,Bethel,US,2021-12-20 22:01:30,41.3712,-73.414,33.76,51,11,1.01
135,Ponta Do Sol,PT,2021-12-20 22:05:58,32.6667,-17.1,70.0,94,89,17.94
136,Champerico,GT,2021-12-20 22:05:58,14.3,-91.9167,83.35,67,38,7.87
137,Vostok,RU,2021-12-20 22:05:59,46.4856,135.8833,11.79,97,100,2.15
138,Milkovo,RU,2021-12-20 22:06:00,54.7167,158.6167,-8.72,96,27,2.53
139,Sorland,NO,2021-12-20 22:06:00,67.667,12.6934,33.87,65,100,14.88
140,Zyryanka,RU,2021-12-20 22:06:01,65.75,150.85,-31.34,89,100,11.07
141,Lata,PT,2021-12-20 22:06:01,40.1629,-8.3327,56.91,95,100,6.17
142,Ileza,RU,2021-12-20 22:06:01,61.0533,43.9002,-5.39,96,100,7.09
143,Port Lincoln,AU,2021-12-20 22:06:02,-34.7333,135.8667,62.37,77,49,4.14
144,Saldanha,ZA,2021-12-20 22:06:02,-33.0117,17.9442,65.95,80,100,3.98
145,Kayerkan,RU,2021-12-20 22:06:03,69.3497,87.7602,-30.48,74,57,1.72
146,Iqaluit,CA,2021-12-20 22:06:03,63.7506,-68.5145,-11.29,95,57,8.61
147,Dingle,PH,2021-12-20 22:06:03,10.9995,122.6711,73.92,95,100,6.62
148,Kapaa,US,2021-12-20 22:06:05,22.0752,-159.319,80.58,74,75,4.0
149,Palmer,US,2021-12-20 22:01:13,42.1584,-72.3287,32.61,54,17,4.68
150,Shakawe,BW,2021-12-20 22:06:05,-18.3667,21.85,72.46,66,22,6.31
151,Evensk,RU,2021-12-20 22:06:06,61.95,159.2333,-15.86,82,89,3.74
152,Te Anau,NZ,2021-12-20 22:06:06,-45.4167,167.7167,54.88,91,100,9.86
153,Onguday,RU,2021-12-20 22:06:06,50.75,86.15,11.84,97,100,2.21
154,Midland,US,2021-12-20 22:01:43,31.9974,-102.0779,68.05,11,1,11.5
155,Plouzane,FR,2021-12-20 22:06:07,48.3833,-4.6167,37.72,87,90,4.61
156,Lavrentiya,RU,2021-12-20 22:06:07,65.5833,-171.0,-7.55,84,9,8.52
157,Waipawa,NZ,2021-12-20 22:06:08,-41.4122,175.5153,67.46,68,76,20.87
158,Namibe,AO,2021-12-20 22:06:09,-15.1961,12.1522,69.75,71,3,7.2
159,Provideniya,RU,2021-12-20 22:06:09,64.3833,-173.3,8.71,72,0,4.47
160,Kirakira,SB,2021-12-20 22:06:09,-10.4544,161.9205,81.52,84,100,4.14
161,Richards Bay,ZA,2021-12-20 22:06:10,-28.783,32.0377,70.52,82,98,6.17
162,Sinnamary,GF,2021-12-20 22:06:10,5.3833,-52.95,78.96,87,100,7.09
163,Hamilton,US,2021-12-20 22:06:11,39.1834,-84.5333,43.77,63,1,1.01
164,Hambantota,LK,2021-12-20 22:06:11,6.1241,81.1185,75.54,100,0,2.3
165,Sibolga,ID,2021-12-20 22:06:11,1.7427,98.7792,74.57,88,100,3.31
166,Guerrero Negro,MX,2021-12-20 22:06:12,27.9769,-114.0611,72.21,27,46,5.06
167,Wodonga,AU,2021-12-20 22:06:12,-36.1167,146.8833,72.1,78,12,4.0
168,Ternate,ID,2021-12-20 22:06:12,0.8,127.4,80.55,83,100,9.4
169,Nikolskoye,RU,2021-12-20 22:06:13,59.7035,30.7861,7.02,95,100,6.93
170,Kodiak,US,2021-12-20 22:06:13,57.79,-152.4072,36.91,75,20,4.61
171,Belyy Yar,RU,2021-12-20 22:06:15,53.6039,91.3903,21.85,79,40,2.24
172,Gornyy,RU,2021-12-20 22:06:15,55.1153,83.9059,3.78,99,100,2.19
173,Novaya Malykla,RU,2021-12-20 22:06:15,54.2,49.95,20.68,94,20,6.33
174,Khirkiya,IN,2021-12-20 22:06:16,22.1674,76.8605,53.24,31,0,4.38
175,Kaeo,NZ,2021-12-20 22:06:16,-35.1,173.7833,68.54,67,100,3.49
176,Sitka,US,2021-12-20 22:07:16,57.0531,-135.33,33.69,75,75,0.0
177,Leningradskiy,RU,2021-12-20 22:07:17,69.3833,178.4167,-15.95,73,100,11.9
178,Luanda,AO,2021-12-20 22:02:29,-8.8368,13.2343,77.11,81,50,7.81
179,Sistranda,NO,2021-12-20 22:06:30,63.7256,8.834,37.36,92,100,14.43
180,Ola,RU,2021-12-20 22:07:17,59.5833,151.2833,0.14,94,100,7.05
181,Lubumbashi,CD,2021-12-20 22:07:17,-11.6609,27.4794,63.19,98,100,3.27
182,Isangel,VU,2021-12-20 22:07:18,-19.55,169.2667,83.37,75,15,9.57
183,Mamakan,RU,2021-12-20 22:07:18,57.8161,114.0028,-37.5,98,84,1.79
184,Pokhara,NP,2021-12-20 22:02:49,28.2333,83.9833,50.86,30,35,4.5
185,East London,ZA,2021-12-20 22:07:18,-33.0153,27.9116,70.79,85,62,15.57
186,Torbay,CA,2021-12-20 22:05:28,47.6666,-52.7314,24.58,77,100,5.01
187,Erdenet,MN,2021-12-20 22:07:19,49.0333,104.0833,2.53,93,78,1.32
188,Atar,MR,2021-12-20 22:07:19,20.5169,-13.0499,71.82,38,100,13.78
189,Maumere,ID,2021-12-20 22:07:19,-8.6199,122.2111,82.08,79,100,4.47
190,Durban,ZA,2021-12-20 22:05:45,-29.8579,31.0292,72.01,91,99,4.0
191,Moron,AR,2021-12-20 22:07:20,-34.6534,-58.6198,86.02,66,0,5.99
192,Beringovskiy,RU,2021-12-20 22:07:20,63.05,179.3167,-10.12,97,52,4.32
193,Catanzaro,IT,2021-12-20 22:07:20,38.8908,16.5987,50.36,69,29,6.58
194,East Wenatchee Bench,US,2021-12-20 22:07:21,47.4257,-120.2812,33.13,85,90,0.0
195,Tigil,RU,2021-12-20 22:07:21,57.8,158.6667,-6.45,99,49,4.18
196,Rawson,AR,2021-12-20 22:07:21,-43.3002,-65.1023,74.1,45,1,28.23
197,Moose Factory,CA,2021-12-20 22:07:22,51.2585,-80.6094,13.98,73,90,13.8
198,Canguaretama,BR,2021-12-20 22:07:22,-6.38,-35.1289,80.02,77,53,11.18
199,Niamey,NE,2021-12-20 22:07:22,13.5137,2.1098,72.37,16,54,10.4
200,Ballina,AU,2021-12-20 22:02:34,-28.8667,153.5667,80.78,87,14,9.04
201,Imbituba,BR,2021-12-20 22:07:23,-28.24,-48.6703,76.89,81,53,15.1
202,Port Hardy,CA,2021-12-20 22:05:55,50.6996,-127.4199,38.75,55,3,5.03
203,Toora-Khem,RU,2021-12-20 22:07:23,52.4675,96.11,14.95,96,100,1.63
204,Panacan,PH,2021-12-20 22:07:24,9.2463,118.4082,78.19,86,81,6.15
205,Pevek,RU,2021-12-20 22:07:24,69.7008,170.3133,-12.87,95,100,20.11
206,Cayenne,GF,2021-12-20 22:07:25,4.9333,-52.3333,82.44,82,0,4.0
207,Otane,NZ,2021-12-20 22:07:25,-39.8833,176.6333,73.38,40,72,6.71
208,Uirauna,BR,2021-12-20 22:07:25,-6.5183,-38.4122,89.4,32,97,5.64
209,Schwarzenberg,DE,2021-12-20 22:07:26,50.55,12.7833,32.58,93,100,2.33
210,Narsaq,GL,2021-12-20 22:07:26,60.9167,-46.05,50.22,62,41,15.59
211,Kolosovka,RU,2021-12-20 22:07:26,56.4678,73.611,10.98,98,94,6.26
212,Faya,SA,2021-12-20 22:07:27,18.3851,42.4509,54.12,86,66,3.69
213,Takhtamygda,RU,2021-12-20 22:07:27,54.1,123.5667,-25.22,91,19,3.15
214,Poronaysk,RU,2021-12-20 22:07:27,49.2167,143.1167,-4.38,97,89,4.63
215,Ilulissat,GL,2021-12-20 22:07:28,69.2167,-51.1,48.22,37,100,13.8
216,Okhotsk,RU,2021-12-20 22:07:28,59.3833,143.3,-2.0,97,100,2.19
217,Aurora,US,2021-12-20 22:03:08,39.7294,-104.8319,62.65,17,20,5.99
218,Jalu,LY,2021-12-20 22:07:28,29.0331,21.5482,53.2,54,23,8.7
219,Ust-Omchug,RU,2021-12-20 22:07:29,61.15,149.6333,-23.17,92,100,3.49
220,Saint-Joseph,RE,2021-12-20 22:07:29,-21.3667,55.6167,75.58,85,93,9.28
221,Waingapu,ID,2021-12-20 22:07:29,-9.6567,120.2641,81.0,82,87,5.88
222,Shieli,KZ,2021-12-20 22:07:30,44.1667,66.75,40.17,84,60,8.5
223,Aripuana,BR,2021-12-20 22:06:31,-9.1667,-60.6333,75.72,96,100,0.72
224,Kaitangata,NZ,2021-12-20 22:08:30,-46.2817,169.8464,55.85,93,70,13.18
225,Cairns,AU,2021-12-20 22:08:31,-16.9167,145.7667,85.1,74,75,8.05
226,Porto Novo,BJ,2021-12-20 22:08:31,6.4965,2.6036,78.96,66,51,3.85
227,Kamenka,RU,2021-12-20 22:08:31,51.3223,42.7678,25.75,94,73,7.94
228,Mar Del Plata,AR,2021-12-20 22:07:51,-38.0023,-57.5575,69.1,85,75,3.0
229,Longyearbyen,SJ,2021-12-20 22:08:32,78.2186,15.6401,17.44,79,75,12.66
230,Nalut,LY,2021-12-20 22:08:32,30.3333,10.85,48.38,46,0,3.51
231,Ambilobe,MG,2021-12-20 22:08:32,-13.2,49.05,75.13,90,100,2.73
232,Castro,BR,2021-12-20 22:08:33,-24.7911,-50.0119,67.91,54,3,2.39
233,Yulara,AU,2021-12-20 22:08:33,-25.2406,130.9889,78.64,24,0,12.66
234,Seydi,TM,2021-12-20 22:08:34,39.4816,62.9137,54.63,60,44,16.84
235,Taltal,CL,2021-12-20 22:08:34,-25.4,-70.4833,65.7,77,72,4.23
236,Adrar,MR,2021-12-20 22:08:34,20.5022,-10.0711,71.55,28,100,7.09
237,Fort Smith,US,2021-12-20 22:03:43,35.3859,-94.3986,43.43,78,90,0.0
238,Maralal,KE,2021-12-20 22:08:35,1.0968,36.698,59.11,88,100,8.43
239,Hay River,CA,2021-12-20 22:08:35,60.8156,-115.7999,-11.6,98,99,2.89
240,Anadyr,RU,2021-12-20 22:08:36,64.75,177.4833,-14.3,62,0,6.71
241,Pilane,BW,2021-12-20 22:08:36,-24.45,26.1333,66.78,65,4,5.61
242,Kyren,RU,2021-12-20 22:08:38,51.6828,102.1408,1.2,96,96,1.14
243,Half Moon Bay,US,2021-12-20 22:08:39,37.4636,-122.4286,58.59,70,90,3.0
244,Chuy,UY,2021-12-20 22:08:39,-33.6971,-53.4616,72.19,73,43,9.75
245,Bambanglipuro,ID,2021-12-20 22:08:40,-7.95,110.2833,76.35,88,100,2.82
246,Puerto Del Rosario,ES,2021-12-20 22:08:42,28.5004,-13.8627,67.75,64,20,5.75
247,Mehamn,NO,2021-12-20 22:08:42,71.0357,27.8492,24.71,86,90,8.05
248,Kaliua,TZ,2021-12-20 22:08:43,-5.0606,31.7936,65.12,96,100,3.0
249,Devils Lake,US,2021-12-20 22:08:43,48.1128,-98.8651,3.18,73,1,3.0
250,Collie,AU,2021-12-20 22:08:44,-33.3667,116.15,58.98,83,96,5.84
251,Ginir,ET,2021-12-20 22:08:44,7.1333,40.7,63.1,58,95,2.82
252,Chardara,KZ,2021-12-20 22:08:44,41.2547,67.9692,46.94,73,0,12.46
253,Iquitos,PE,2021-12-20 22:04:42,-3.7481,-73.2472,87.84,70,40,4.61
254,Mount Isa,AU,2021-12-20 22:08:45,-20.7333,139.5,83.97,54,32,6.91
255,Lucea,JM,2021-12-20 22:08:45,18.451,-78.1736,81.86,71,6,11.5
256,Alofi,NU,2021-12-20 22:08:45,-19.0595,-169.9187,82.29,36,75,14.97
257,Coruripe,BR,2021-12-20 22:08:46,-10.1256,-36.1756,80.29,79,83,14.97
258,Namatanai,PG,2021-12-20 22:08:46,-3.6667,152.4333,81.14,79,98,7.18
259,Udachnyy,RU,2021-12-20 22:08:46,66.4167,112.4,-15.56,75,100,6.78
260,Roma,US,2021-12-20 22:06:21,43.2128,-75.4557,34.84,84,1,6.91
261,Ongole,IN,2021-12-20 22:04:28,15.5,80.05,66.83,72,5,5.32
262,Plettenberg Bay,ZA,2021-12-20 22:08:47,-34.0527,23.3716,65.86,94,77,6.98
263,Caravelas,BR,2021-12-20 22:08:47,-17.7125,-39.2481,72.25,94,12,4.68
264,Manggar,ID,2021-12-20 22:08:48,-2.8833,108.2667,76.71,89,100,4.54
265,Clyde River,CA,2021-12-20 22:08:48,70.4692,-68.5914,14.23,100,90,3.44
266,Sungaipenuh,ID,2021-12-20 22:08:48,-2.0833,101.3833,62.4,86,98,2.3
267,Leh,IN,2021-12-20 22:08:48,34.1667,77.5833,8.98,82,97,1.25
268,Pemba,MZ,2021-12-20 22:09:49,-12.974,40.5178,80.31,76,88,4.47
269,Najran,SA,2021-12-20 22:09:49,17.4924,44.1277,61.34,28,2,3.24
270,Batagay-Alyta,RU,2021-12-20 22:09:50,67.8006,130.4114,-22.88,99,100,1.99
271,Banamba,ML,2021-12-20 22:09:51,13.55,-7.45,71.46,16,79,8.61
272,Zhigansk,RU,2021-12-20 22:09:52,66.7697,123.3711,-52.83,100,60,2.17
273,Ajdabiya,LY,2021-12-20 22:09:53,30.7554,20.2263,58.23,74,91,10.98
274,Kuhdasht,IR,2021-12-20 22:09:53,33.535,47.6061,50.88,84,82,21.36
275,Suez,EG,2021-12-20 22:08:16,29.9737,32.5263,52.12,50,3,14.38
276,Port Hedland,AU,2021-12-20 22:09:54,-20.3167,118.5667,80.65,89,39,8.05
277,Korla,CN,2021-12-20 22:09:54,41.7597,86.1469,24.15,54,100,1.3
278,Avarua,CK,2021-12-20 22:07:16,-21.2078,-159.775,82.45,69,40,10.36
279,Vila Velha,BR,2021-12-20 22:09:26,-20.3297,-40.2925,72.95,87,40,3.44
280,Porto Santo,PT,2021-12-20 22:09:56,33.072,-16.3415,69.3,82,40,28.77
281,Catemaco,MX,2021-12-20 22:09:56,18.4167,-95.1167,69.55,91,98,8.43
282,Belaya Gora,RU,2021-12-20 22:09:56,68.5333,146.4167,-7.13,98,100,8.79
283,Fukue,JP,2021-12-20 22:09:57,32.6881,128.8419,58.21,57,100,13.04
284,Boa Vista,BR,2021-12-20 22:09:57,2.8197,-60.6733,87.78,55,75,5.75
285,Saint Anthony,US,2021-12-20 22:09:58,45.0205,-93.218,19.0,58,1,5.01
