City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jackson,US,42.4165,-122.8345,49.87,79,90,18.41,light rain
1,Campina Grande Do Sul,BR,-25.3056,-49.0553,86.9,49,1,7.72,clear sky
2,Luderitz,NA,-26.6481,15.1594,63.91,78,0,18.1,clear sky
3,Ilulissat,GL,69.2167,-51.1,26.62,46,75,14.97,broken clouds
4,Albany,US,42.6001,-73.9662,23.52,77,100,1.99,overcast clouds
5,Santa Maria Del Oro,MX,25.9333,-105.3667,62.6,23,1,7.63,clear sky
6,Lavrentiya,RU,65.5833,-171.0,-1.57,99,77,3.85,broken clouds
7,Tiksi,RU,71.6872,128.8694,-20.18,99,100,4.76,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,51.42,43,75,29.93,broken clouds
9,Daboh,IN,26.0025,78.8761,55.29,50,2,1.43,clear sky
10,Alugan,PH,12.2188,125.4808,77.56,79,100,15.3,overcast clouds
11,Yunyang,CN,33.4474,112.7142,39.33,51,100,7.96,overcast clouds
12,Castro,BR,-24.7911,-50.0119,84.33,41,87,5.7,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,66.61,69,0,4.0,clear sky
14,Kodiak,US,57.79,-152.4072,18.91,58,75,20.71,broken clouds
15,At-Bashi,KG,41.1702,75.8106,21.47,75,100,1.81,overcast clouds
16,Busselton,AU,-33.65,115.3333,58.89,85,12,13.44,few clouds
17,Guerrero Negro,MX,27.9769,-114.0611,62.17,44,99,9.89,overcast clouds
18,Vaini,TO,-21.2,-175.2,78.96,94,90,20.71,heavy intensity rain
19,Joaquim Nabuco,BR,-8.6244,-35.5333,83.55,57,3,12.46,clear sky
20,Kahului,US,20.8947,-156.47,77.85,85,20,5.75,light rain
21,Barrow,US,71.2906,-156.7887,-29.18,99,40,6.91,scattered clouds
22,Upernavik,GL,72.7868,-56.1549,-9.04,91,22,5.93,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,50.02,49,75,11.5,broken clouds
24,Statesboro,US,32.4488,-81.7832,55.2,50,1,16.11,clear sky
25,Matamoros,MX,25.5333,-103.25,57.31,26,1,4.61,clear sky
26,Ilula,TZ,-7.6766,36.0366,63.72,94,23,4.41,few clouds
27,Morondava,MG,-20.2833,44.2833,82.15,72,7,12.21,clear sky
28,Chokurdakh,RU,70.6333,147.9167,-19.39,99,100,5.1,overcast clouds
29,Butaritari,KI,3.0707,172.7902,80.85,65,100,13.4,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,66.9,73,100,8.01,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,77.22,78,94,9.84,overcast clouds
32,Hobart,AU,-42.8794,147.3294,57.06,82,90,0.0,overcast clouds
33,Khatanga,RU,71.9667,102.5,-55.8,99,53,3.94,broken clouds
34,Namyslow,PL,51.0759,17.7228,48.58,77,98,8.41,overcast clouds
35,Rocha,UY,-34.4833,-54.3333,92.12,33,2,15.01,clear sky
36,Longyearbyen,SJ,78.2186,15.6401,4.84,56,60,24.16,broken clouds
37,Norman Wells,CA,65.282,-126.8329,-34.56,67,75,4.61,broken clouds
38,Rumford,US,44.5537,-70.5509,21.06,56,100,4.18,overcast clouds
39,Tessalit,ML,20.1986,1.0114,66.31,22,0,8.61,clear sky
40,Pevek,RU,69.7008,170.3133,29.07,72,95,28.83,overcast clouds
41,Merauke,ID,-8.4667,140.3333,79.25,85,100,8.66,overcast clouds
42,Kismayo,SO,-0.3582,42.5454,79.09,83,12,14.81,few clouds
43,Qaanaaq,GL,77.484,-69.3632,-4.36,63,61,8.12,broken clouds
44,Libertador General San Martin,AR,-23.8064,-64.7876,103.98,23,10,9.15,clear sky
45,Bubaque,GW,11.2833,-15.8333,80.28,54,100,10.47,overcast clouds
46,Mahebourg,MU,-20.4081,57.7,79.09,78,75,11.5,broken clouds
47,Lebu,CL,-37.6167,-73.65,61.97,94,98,10.0,overcast clouds
